,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
42,8ccc429598d62eebe9f65a0a4e6fd406a123c8b4,2013-05-14 18:49:26+00:00,CVE-2013-2023,CWE-79,2013-08-15T17:55Z,MEDIUM,2.9
43,c2417972af1295be8dcc07470b0e3d25b0a77e0b,2013-05-14 20:15:51+00:00,CVE-2013-2023,CWE-79,2013-08-15T17:55Z,MEDIUM,2.9
44,fb64a4cb24c3367e36f7164aa16ef83b95b18c2e,2013-05-18 13:35:08+00:00,SQL_INJECTION,,,,
45,78e29687e13a1824a83f46e547f95b57a5cd5e7d,2013-06-08 22:00:50+00:00,SQL_INJECTION,,,,
46,a24eab85025d35af3edd3f386fd893508b10b3ff,2013-06-12 08:46:24+00:00,SQL_INJECTION,,,,
47,1c1f6157515696a26afa3f45ec67c5f0ae517947,2013-06-20 07:46:16+00:00,SQL_INJECTION,,,,
48,0e5252de075313d9b0f3c2b37895303725c10c71,2013-07-01 13:04:47+00:00,CVE-2013-1571,NVD-CWE-noinfo,2013-06-18T22:55Z,MEDIUM,2.9
49,4d0010a98ac95cc9b87a9c495948fb641c9070fc,2013-07-03 14:55:58+00:00,SQL_INJECTION,,,,
50,7c3e0136b8e821edc26705c739585d76cf39e02d,2013-07-05 03:42:38+00:00,SQL_INJECTION,,,,
51,6a81449865c418933b56f4a2e797a2d2167e9bec,2013-07-05 08:30:22+00:00,SQL_INJECTION,,,,
52,e3acbba69782776869401c13f0902489f9de00b1,2013-07-14 11:54:27.098716+00:00,SQL_INJECTION,,,,
53,3654655138d6ab6c644649dbb3a578740a5830cd,2013-07-16 07:19:36+00:00,SQL_INJECTION,,,,
54,765d389e8bcd81789367ae196d99070479409e44,2013-07-16 07:19:36+00:00,SQL_INJECTION,,,,
55,e0cab8b63dd075eb761a44a80e332b8e8e67a4d2,2013-07-26 18:51:43+00:00,SQL_INJECTION,,,,
56,cf49d571cdd27384b415b5124dfbf2ef8f03c3ce,2013-07-29 15:40:54+00:00,CVE-2013-4170,,,,
57,f046518ef14472a220c082f5854909cb60c41e10,2013-07-29 15:41:05+00:00,CVE-2013-4170,,,,
58,696f33aeda34ca1144c337f572c13ee9ae4f0355,2013-08-08 19:44:48+00:00,SQL_INJECTION,,,,
59,d82317f92e9098c564260c861a9c99754a663531,2013-08-12 17:21:29+00:00,SQL_INJECTION,,,,
60,a3cda6043db3839a31fe95112e34e14df9dee852,2013-09-08 21:51:51+00:00,SQL_INJECTION,,,,
61,3a2e34947284b37a55b4cf8d33af0833df6c6be5,2013-09-09 15:08:36+00:00,SQL_INJECTION,,,,
