,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
2533,75f949570df6a24140c5bc93e7599b0d20d7d346,2016-06-24 09:40:05+00:00,CVE-2015-5162,CWE-399,2016-10-07T14:59Z,HIGH,6.9
2534,a3271e8101dddf51b1f714afeee762079edfd458,2016-06-26 21:49:58+00:00,CVE-2016-2143,CWE-20,2016-04-27T17:59Z,MEDIUM,10.0
2535,6874df1989efd123f6609c5e9d2579e815e417dd,2016-06-27 19:07:13+00:00,CVE-2016-4972,CWE-20,2016-09-26T16:59Z,HIGH,6.4
2536,4ef2bdfe1f2f3398ba098200b882c4bf7b6565b1,2016-06-27 19:16:14+00:00,CVE-2016-4972,CWE-20,2016-09-26T16:59Z,HIGH,6.4
2537,7a026eb53991b7450b1e5ba3fdb1ee324175d33e,2016-06-27 19:35:58+00:00,CVE-2016-4972,CWE-20,2016-09-26T16:59Z,HIGH,6.4
2538,5d158044322f0aae2b87a9803efc2e09782f41b8,2016-06-27 19:57:02+00:00,CVE-2016-4972,CWE-20,2016-09-26T16:59Z,HIGH,6.4
2539,e5fe5ba6e013940ebd47b4ec18935fa04cb0076f,2016-06-29 12:56:05+00:00,CVE-2016-4428,CWE-79,2016-07-12T19:59Z,LOW,2.9
2540,d4205fa5b9eb257b901cc5b1e8f2568a54fed38a,2016-06-29 13:14:31+00:00,CVE-2016-4428,CWE-79,2016-07-12T19:59Z,LOW,2.9
2541,ca320a4c421d701444753c6990c2d30418ee66d5,2016-07-01 09:01:55+00:00,SQL_INJECTION,,,,
2542,38f9c2e1acfd1231164c0fac86fb25943a4e8a3b,2016-07-01 09:02:45+00:00,SQL_INJECTION,,,,
2543,3f6d52e42eb42d7c4f0a9f2da54db341bbfa73ad,2016-07-03 07:28:22+00:00,CVE-2016-5699,CWE-113,2016-09-02T14:59Z,MEDIUM,2.9
2544,5d017f457725ae59d96de73607aaafdcab8b00ad,2016-07-04 15:28:01+00:00,CVE-2015-5162,CWE-399,2016-10-07T14:59Z,HIGH,6.9
2545,0b86d5175a454ab0107bd9128da8802a76c59fa7,2016-07-05 03:43:59+00:00,CVE-2016-0772,CWE-693,2016-09-02T14:59Z,MEDIUM,4.9
2546,cc537891746fa55e55d787ec5a599d0200e8025d,2016-07-05 16:51:03+00:00,CVE-2015-5162,CWE-399,2016-10-07T14:59Z,HIGH,6.9
2547,6d57c1969c7961b7e9c9acd8cd4baf521c4b08af,2016-07-05 17:13:33+00:00,CVE-2015-5162,CWE-399,2016-10-07T14:59Z,HIGH,6.9
2548,c43dd82758b9d2134ea15e8d8cdb6079db315628,2016-07-05 17:14:26+00:00,CVE-2015-5162,CWE-399,2016-10-07T14:59Z,HIGH,6.9
2549,5918183928ad34379665e9687cc99cd4494083f6,2016-07-05 20:55:00+00:00,CVE-2015-5162,CWE-399,2016-10-07T14:59Z,HIGH,6.9
2550,621bdd38af3e91d52c304eeedadbeffee10dbe5b,2016-07-06 18:14:07+00:00,CVE-2016-1000008,,,,
2551,f01228557798175d343855e5eec1a5f86f27e623,2016-07-06 18:16:51+00:00,CVE-2016-1000008,,,,
2552,86536baf7fb762548d917baaa77033607232c83b,2016-07-13 08:24:26+00:00,CVE-2016-4972,CWE-20,2016-09-26T16:59Z,HIGH,6.4
2553,6f63560d2863ef683162d336ff83d0dd9360e9b6,2016-07-14 06:45:52+00:00,SQL_INJECTION,,,,
2554,e7562e6db69c8ee423e537a016ff0dde3fd9504e,2016-07-15 21:56:10+00:00,SQL_INJECTION,,,,
2555,ab3a85719fd65a76319ab80393b539615dba0034,2016-07-16 11:06:22+00:00,CVE-2016-4972,CWE-20,2016-09-26T16:59Z,HIGH,6.4
2556,94ff955ece9092ed1bc089ecf13112aac291619b,2016-07-16 14:31:12+00:00,CVE-2016-4428,CWE-79,2016-07-12T19:59Z,LOW,2.9
2557,bc53af13cbf09b0cbac945426c2d51d0ca52fff3,2016-07-18 19:19:35+00:00,CVE-2016-6186,CWE-79,2016-08-05T15:59Z,MEDIUM,2.9
2558,658f545b0c979e0355ceb6631edcc06446c37530,2016-07-18 19:20:30+00:00,CVE-2016-6186,CWE-79,2016-08-05T15:59Z,MEDIUM,2.9
2559,57c4db8c6903e3e95f53f8f0ca448231b385071f,2016-07-18 19:20:38+00:00,CVE-2016-6186,CWE-79,2016-08-05T15:59Z,MEDIUM,2.9
2560,2deed2ea08921a89632cb52038e4159cbecb7c7f,2016-07-18 19:20:55+00:00,CVE-2016-6186,CWE-79,2016-08-05T15:59Z,MEDIUM,2.9
2561,55efe61f9820b430177eeeb46aa427bc32d115e1,2016-07-18 20:07:52+00:00,SQL_INJECTION,,,,
2562,cf102b5a3e0d70ff8b9891c1bb30d23cbb42f4dd,2016-07-20 07:13:37+00:00,CVE-2016-4972,CWE-20,2016-09-26T16:59Z,HIGH,6.4
2563,69a9dcde1cc8686e0c3d53f9a07b0860125d8856,2016-07-22 00:25:25+00:00,CVE-2016-6186,CWE-79,2016-08-05T15:59Z,MEDIUM,2.9
2564,1cf78522ceddbc7f27026a6dabd73251b91045c6,2016-07-27 13:02:44+00:00,SQL_INJECTION,,,,
2565,75d7b615ba70fc5759d16dee95bbd8f0474d8a9c,2016-07-30 12:49:53+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2566,5be8d3e97b1d2e526548cb346fd5f8980d31616a,2016-07-30 12:49:53+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2567,9f45b0a68057a61bbd6140d5aeb43d92795573f1,2016-07-30 12:49:53+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2568,18c8fd6a91064fd64b336b9cd8d32655c19782cc,2016-07-30 12:49:53+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2569,5e0700418dc27b645edbe33c744daff93cd66618,2016-07-31 06:24:16+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2570,85e16e9bf23d9cf684c9758abcb010808141093b,2016-07-31 06:24:16+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2571,4cbb23f8f278fd1f71dcd5968aa0b3f0b4f3bd5d,2016-07-31 06:24:16+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
