,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
59,7fe2d8d940fdddd1a02c4754008a27060c4a03e9,2016-11-01 06:30:57-07:00,CVE-2016-9014,CWE-264,2016-12-09T20:59Z,MEDIUM,5.9
60,884e113838e5a72b4b0ec9e5e87aa480f6aa4472,2016-11-01 06:36:44-07:00,CVE-2016-9014,CWE-264,2016-12-09T20:59Z,MEDIUM,5.9
61,34e10720d81b8d407aa14d763b6a7fe8f13b4f2e,2016-11-01 06:36:44-07:00,CVE-2016-9013,CWE-798,2016-12-09T20:59Z,HIGH,5.9
62,b8ae2c16cfc4bf88c1720eafd8e35438181a7413,2016-11-01 07:48:11-07:00,CVE-2016-9013,CWE-798,2016-12-09T20:59Z,HIGH,5.9
63,b04594135f58ee1bd6b7e42fcdc6036761974feb,2016-11-01 07:48:41-07:00,CVE-2016-9013,CWE-798,2016-12-09T20:59Z,HIGH,5.9
64,734ef022a17180288a2ea65e2319676692bc9926,2016-11-01 07:48:49-07:00,CVE-2016-9013,CWE-798,2016-12-09T20:59Z,HIGH,5.9
65,6af2a433909a25be951a362f8e56ce58dcbbe180,2016-12-28 14:21:23-08:00,CVE-2016-10074,CWE-77,2016-12-30T19:59Z,HIGH,5.9
66,96ee5c373e529eb3313bf8174ab095ab12588f21,2016-12-28 14:50:10-08:00,CVE-2016-10074,CWE-77,2016-12-30T19:59Z,HIGH,5.9
67,96ee5c373e529eb3313bf8174ab095ab12588f21,2016-12-28 14:50:10-08:00,CVE-2016-10074,CWE-77,2016-12-30T19:59Z,HIGH,5.9
68,5ef84930f4dd8dea9c1b9d3ee3f99ca02a0963cf,2017-01-27 15:00:37-08:00,SQL_INJECTION,,,,
69,c12b36b8d3e06c2eba1aa3362467f3fa8175a597,2017-02-07 01:09:33-08:00,SQL_INJECTION,,,,
70,e22ce18db2bd52a7e60ee52865bfa5a994e8ab7a,2017-02-07 08:37:03-08:00,SQL_INJECTION,,,,
71,1e43753b438b8b4bc70f300faab961cf920ce310,2017-03-24 07:59:52-07:00,CVE-2016-4658,CWE-119,2016-09-25T10:59Z,HIGH,5.9
72,cef1d6d2cb0dd64e19ecf7f6621dcf1d595b8930,2017-03-24 10:36:05-07:00,CVE-2016-4658,CWE-119,2016-09-25T10:59Z,HIGH,5.9
73,5f1ffb07afc1e59729ce2b283124116d6c0659e4,2017-04-04 07:00:41-07:00,CVE-2017-7234,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
